p1_lvl,p2_lvl,cell_area,maj_axis,min_axis,condition,replication
194.03326,202.36806,72.99189,7.16081,3.46155,e0,1
370.55989,218.58459,72.50320,7.39516,3.29874,e0,1
196.33185,235.62994,89.96874,8.52517,3.57955,e0,1
242.14253,205.31519,47.33542,5.81406,2.81602,e0,1
311.99225,260.31278,49.21052,6.63425,2.56303,e0,1
350.63217,301.13584,13.78424,3.76407,1.29679,e0,1
387.93360,353.56155,57.68777,8.28429,2.38523,e0,1
373.65218,305.44440,85.21456,9.37135,3.10735,e0,1
264.27245,343.58096,59.18447,8.20228,2.44808,e0,1
300.59400,187.68906,65.56638,6.49896,3.44745,e0,1
303.52309,280.23467,69.83148,8.12278,2.92459,e0,1
345.77696,243.56297,19.19806,4.00647,1.66750,e0,1
268.33251,237.67048,94.07684,8.71100,3.60282,e0,1
374.62544,343.74278,89.95300,10.17886,2.94782,e0,1
327.70719,331.99920,89.94170,9.99048,3.04485,e0,1
276.39960,250.39571,68.68596,7.62479,3.02851,e0,1
307.47715,325.54039,68.96549,8.71071,2.74443,e0,1
392.70267,359.87702,66.24084,8.93002,2.51011,e0,1
345.67389,244.29351,64.01336,7.28698,2.92860,e0,1
263.57866,233.25123,69.39340,7.42628,3.17137,e0,1
194.87436,292.94376,106.20551,10.24322,3.46054,e0,1
284.89841,199.36778,68.77487,6.87921,3.42678,e0,1
309.54714,257.81628,51.25992,6.67221,2.61032,e0,1
319.67613,240.74586,70.25641,7.59671,3.09458,e0,1
308.52507,97.97309,65.18203,4.78820,4.58683,e0,1
267.55026,280.79391,67.74730,8.01518,2.86267,e0,1
383.34635,201.07297,45.15283,5.63140,2.70035,e0,1
303.10682,377.10502,58.25290,8.57898,2.29460,e0,1
305.80871,249.88315,41.50176,5.99339,2.42715,e0,1
274.30271,337.79329,82.66565,9.69067,2.90945,e0,1
279.58506,309.67876,68.97608,8.51517,2.73928,e0,1
429.19921,303.87223,11.42640,3.41387,1.18161,e0,1
308.99889,275.48270,84.31110,8.88853,3.17855,e0,1
244.44232,294.49789,77.59320,8.78104,2.97902,e0,1
266.59093,186.38457,81.66439,7.25337,3.84206,e0,1
284.33393,151.45129,95.03128,7.09052,4.47797,e0,1
326.46904,255.62575,39.47229,5.85612,2.34862,e0,1
324.74844,221.06238,63.66435,6.97024,3.11467,e0,1
259.09031,226.91305,49.96726,6.22967,2.74084,e0,1
299.20485,351.01549,20.26100,4.91504,1.43700,e0,1
199.81530,271.09057,64.33670,7.68639,2.83583,e0,1
242.65442,289.44344,23.40014,4.80337,1.70258,e0,1
366.38360,346.94209,35.19328,6.48448,1.89609,e0,1
335.36955,255.06006,52.34146,6.75411,2.67816,e0,1
318.46365,401.31772,71.41468,9.76911,2.38340,e0,1
308.96343,261.11903,35.67197,5.62430,2.16588,e0,1
339.94494,338.17430,11.74000,3.67926,1.14046,e0,1
333.22957,235.28650,103.74601,9.10510,3.84615,e0,1
253.25781,244.18842,38.22805,5.62964,2.32494,e0,1
223.17015,256.22833,62.53224,7.37025,2.86571,e0,1
328.12268,245.36166,101.57205,9.18788,3.72161,e0,1
328.97044,271.39826,45.13817,6.43171,2.37067,e0,1
255.44972,361.08591,63.86288,8.69575,2.47583,e0,1
353.49675,197.56862,94.90601,8.01322,3.95495,e0,1
198.07386,363.03315,28.77151,5.99515,1.66856,e0,1
270.66288,286.43778,76.80565,8.64866,2.95425,e0,1
374.17573,145.96314,71.02736,5.98196,3.89034,e0,1
212.23591,274.52216,70.17053,8.02863,2.96016,e0,1
287.70130,255.65684,81.21131,8.35147,3.22483,e0,1
310.28823,198.60053,58.19361,6.29188,3.12470,e0,1
321.11719,263.65368,87.24197,8.82362,3.35337,e0,1
301.56403,360.23832,61.44346,8.61131,2.44710,e0,1
291.07499,277.28902,88.93522,9.15875,3.26360,e0,1
252.78638,344.71012,55.51711,8.00186,2.35653,e0,1
243.82119,317.51139,29.09711,5.63572,1.81159,e0,1
283.83760,388.75513,47.55293,7.86892,2.07113,e0,1
338.32551,220.60251,43.23966,5.77000,2.55979,e0,1
169.67341,299.38559,39.89690,6.33871,2.17355,e0,1
335.59474,269.01576,15.73658,3.85098,1.52851,e0,1
320.56001,468.39808,62.29572,9.83451,2.15358,e0,1
317.18290,203.92853,53.59822,6.14545,2.95711,e0,1
381.87865,307.27303,77.55032,8.94037,2.87723,e0,1
268.29944,416.72193,62.97267,9.38286,2.31547,e0,1
350.42891,297.03835,40.47911,6.34409,2.14031,e0,1
348.30507,373.12564,91.75627,10.66836,2.88113,e0,1
270.39271,191.04350,50.12124,5.77348,2.96023,e0,1
260.51010,250.26785,30.51097,5.11689,2.03888,e0,1
285.29537,293.31488,105.79271,10.18242,3.45383,e0,1
337.10715,263.57156,78.51943,8.36997,3.17370,e0,1
312.66629,217.71556,55.83399,6.45329,2.98289,e0,1
332.19124,346.33069,72.92931,9.21521,2.68207,e0,1
312.14386,330.56689,61.20458,8.27549,2.50170,e0,1
350.47021,369.25967,50.74748,7.96191,2.23188,e0,1
285.42614,408.01123,63.16876,9.28643,2.32101,e0,1
257.68332,283.48475,29.64181,5.35795,1.91604,e0,1
304.45857,184.58186,29.90907,4.41609,2.41535,e0,1
263.81037,166.59614,61.90233,5.97101,3.48675,e0,1
349.79989,236.88902,47.78268,6.21959,2.59574,e0,1
360.96392,181.89592,61.44020,6.21349,3.35511,e0,1
297.69160,468.88572,80.89522,11.23158,2.46462,e0,1
354.17634,178.86964,43.49453,5.20613,2.85359,e0,1
233.40269,326.84211,20.80661,4.81009,1.50727,e0,1
281.59584,226.85577,75.95854,7.71729,3.32123,e0,1
313.50382,229.31953,79.31502,7.83865,3.34552,e0,1
264.53669,242.56557,52.58082,6.59841,2.66965,e0,1
349.89523,270.57593,53.87232,7.03547,2.63692,e0,1
392.16721,201.13392,56.21234,6.22351,3.01920,e0,1
344.17246,241.33585,58.16799,6.88471,2.91159,e0,1
278.92324,305.53212,48.93389,7.11216,2.36115,e0,1
360.78168,304.52834,43.50977,6.70109,2.21927,e0,1
310.25245,192.96568,74.13120,7.07612,3.58244,e0,1
227.11465,271.46790,57.21138,7.26149,2.64647,e0,1
340.40198,277.61921,56.21333,7.25386,2.65598,e0,1
262.60746,351.74419,57.33113,8.20086,2.29817,e0,1
320.76546,232.26084,38.14746,5.48971,2.37884,e0,1
376.67204,191.69298,74.82455,6.99065,3.58726,e0,1
291.98244,376.53096,42.07731,7.31121,1.96639,e0,1
257.79409,288.37507,45.82788,6.71329,2.35354,e0,1
330.91787,156.07361,74.91162,6.35075,3.93772,e0,1
365.96744,344.88006,82.78698,9.81864,2.84550,e0,1
310.84427,300.13281,81.67995,9.08991,3.05379,e0,1
285.99240,229.94900,27.45310,4.71373,2.07155,e0,1
383.18737,311.72642,51.13408,7.34387,2.44257,e0,1
293.40449,314.48467,38.98229,6.45391,2.05202,e0,1
310.36230,326.90929,34.03804,6.10171,1.88461,e0,1
266.78032,342.02831,19.70063,4.81744,1.48591,e0,1
264.06382,295.88325,35.83203,5.95219,2.03593,e0,1
261.43486,158.09565,94.86162,7.26865,4.36371,e0,1
321.02989,208.85026,53.34753,6.19437,2.97408,e0,1
315.87703,205.10248,97.10627,8.25424,3.93415,e0,1
188.33125,241.91928,90.61599,8.61849,3.46848,e0,1
273.80248,278.03166,83.60952,8.85621,3.19703,e0,1
305.64761,350.64071,26.29588,5.56687,1.63999,e0,1
325.26837,297.39254,84.63856,9.21407,3.05566,e0,1
225.99370,233.33962,39.51895,5.60665,2.45001,e0,1
350.48109,254.94758,50.64918,6.66264,2.64108,e0,1
322.84569,240.71749,98.61445,8.99901,3.67986,e0,1
232.14778,243.79744,56.28534,6.82604,2.80428,e0,1
273.66501,319.01764,35.47739,6.16395,1.97738,e0,1
276.38620,221.70999,77.80127,7.72217,3.38217,e0,1
260.90097,274.11036,65.01657,7.83032,2.84707,e0,1
348.36112,219.92607,74.82973,7.48061,3.37611,e0,1
325.89482,281.77522,65.88002,7.93468,2.85087,e0,1
247.20764,478.73363,31.86782,7.13276,1.53796,e0,1
375.51569,227.83367,108.80593,9.18753,3.94683,e0,1
412.21593,327.91665,67.84291,8.66332,2.67225,e0,1
301.03680,316.42137,47.89650,7.19357,2.31162,e0,1
179.26664,340.16013,45.16324,7.15204,2.13420,e0,1
269.40666,177.65064,72.50019,6.67380,3.65764,e0,1
324.18261,288.50408,82.14134,8.89464,3.09548,e0,1
226.07822,346.55731,75.49333,9.34084,2.76877,e0,2
258.61938,380.79543,24.72758,5.65100,1.56441,e0,2
270.08040,266.11103,50.29158,6.73201,2.53675,e0,2
247.09518,373.00547,84.99414,10.29420,2.77116,e0,2
247.86302,268.27722,69.69181,7.96471,2.92843,e0,2
255.16445,315.56399,35.12365,6.17112,1.97201,e0,2
233.39555,319.67508,51.48751,7.43898,2.34852,e0,2
226.48680,280.91788,79.94814,8.63739,3.08215,e0,2
239.39805,293.78720,81.82251,9.08889,3.10206,e0,2
297.34581,333.05481,66.36010,8.58991,2.62480,e0,2
297.51598,327.39649,44.53326,7.02669,2.23933,e0,2
248.80107,304.91864,79.26038,9.01671,2.97062,e0,2
317.79306,235.94648,70.93768,7.54055,3.16014,e0,2
256.13434,300.76143,64.48035,8.08811,2.72031,e0,2
298.89243,284.98499,83.19321,8.97297,3.17390,e0,2
319.03290,297.51159,47.45676,6.87368,2.25951,e0,2
413.09810,170.48279,51.87825,5.55756,3.20342,e0,2
375.16165,345.17084,43.00902,7.01974,2.09145,e0,2
299.24625,304.20181,58.29845,7.74147,2.58603,e0,2
295.85030,268.76079,52.67554,6.91650,2.55643,e0,2
346.74164,397.00957,34.51205,6.77177,1.80939,e0,2
319.76347,335.93248,54.53701,7.83255,2.35069,e0,2
359.45150,303.98160,125.80295,11.26792,3.66445,e0,2
357.59978,250.83867,58.72707,7.08893,2.82415,e0,2
286.93238,133.87580,38.53269,4.28754,3.04420,e0,2
285.73818,292.81736,61.41192,7.77801,2.65755,e0,2
245.95333,142.96250,77.63504,6.17461,4.18766,e0,2
324.06946,217.17593,86.49778,8.01857,3.61849,e0,2
193.74431,274.93776,59.38308,7.45767,2.69376,e0,2
322.97377,173.10650,50.60298,5.54046,3.12561,e0,2
309.85302,359.31451,77.70598,9.68377,2.69172,e0,2
294.27347,342.14937,106.61638,11.00407,3.19985,e0,2
332.04794,321.68271,35.82261,6.26376,1.95900,e0,2
311.01691,155.13955,44.51818,4.95737,3.03364,e0,2
373.96039,308.57613,65.80401,8.27987,2.66298,e0,2
266.87184,360.14129,63.87890,8.80222,2.48404,e0,2
201.08878,250.32458,42.66566,6.06680,2.41501,e0,2
293.33136,251.09945,64.20075,7.37369,2.95431,e0,2
299.51196,179.16763,100.80726,7.89730,4.37720,e0,2
275.35903,264.85296,24.53872,4.74629,1.83548,e0,2
429.09752,271.72618,72.68794,8.19785,2.97968,e0,2
315.04550,347.12574,61.64138,8.48116,2.45639,e0,2
279.69770,252.19343,54.08211,6.79777,2.65170,e0,2
363.37264,148.79354,76.03321,6.27234,4.05806,e0,2
300.99858,238.67145,44.43094,6.01783,2.55046,e0,2
170.31291,300.82253,61.99518,7.90720,2.61604,e0,2
321.33525,215.23943,24.33565,4.26326,2.03680,e0,2
300.57730,165.30945,41.86597,4.95755,2.92842,e0,2
329.42519,354.96635,78.36102,9.62628,2.75016,e0,2
347.23452,211.44474,47.18867,5.83763,2.70495,e0,2
348.32774,209.62237,82.44732,7.66961,3.57537,e0,2
277.49018,293.86711,73.49190,8.50540,2.90897,e0,2
255.37963,327.07308,53.78484,7.70843,2.40124,e0,2
203.30110,194.37496,90.45095,7.79718,3.83343,e0,2
323.87569,240.86032,69.20925,7.54212,3.09931,e0,2
235.88486,281.29671,95.22971,9.51969,3.32156,e0,2
224.65015,176.36920,51.63939,5.68241,3.14397,e0,2
308.79759,350.70164,49.06584,7.60959,2.21339,e0,2
333.93352,215.70971,43.79619,5.74000,2.63237,e0,2
295.85068,335.48364,62.18356,8.37074,2.53919,e0,2
274.22764,358.56826,69.82794,9.17071,2.53317,e0,2
227.12300,273.64303,40.73152,6.18387,2.25368,e0,2
289.33870,140.72882,58.82809,5.42328,3.71193,e0,2
262.72574,241.06075,37.75136,5.61501,2.31883,e0,2
333.36742,307.08823,71.62266,8.61037,2.82465,e0,2
366.80550,264.21183,51.81060,6.84949,2.59359,e0,2
234.38898,306.71402,52.22764,7.34579,2.44417,e0,2
297.16704,243.14475,26.15338,4.70918,1.93307,e0,2
309.95008,306.83843,79.02193,9.01210,2.93180,e0,2
284.05026,276.44171,45.36085,6.51009,2.34258,e0,2
355.05772,361.57018,48.20601,7.64007,2.16683,e0,2
279.79424,282.07113,69.25264,8.08421,2.89761,e0,2
282.11800,320.44974,83.07150,9.45167,2.97348,e0,2
382.25142,331.19705,85.20185,9.73066,2.98174,e0,2
230.79501,201.00172,70.50946,6.99036,3.42846,e0,2
253.98739,383.89940,76.07228,9.84049,2.57717,e0,2
300.22152,262.11098,103.56971,9.59239,3.61971,e0,2
245.04485,222.29859,54.45270,6.46034,2.90176,e0,2
215.38812,242.90415,75.37126,7.87944,3.22118,e0,2
269.08051,361.45131,50.70825,7.83820,2.22519,e0,2
334.86779,423.59845,52.46124,8.58953,2.07054,e0,2
367.44445,228.64836,53.73795,6.47583,2.84542,e0,2
284.51768,265.88594,52.33669,6.87827,2.59532,e0,2
329.27260,317.56331,47.69405,7.16347,2.30768,e0,2
265.75927,152.27256,60.85945,5.72284,3.58823,e0,2
212.65911,191.72435,57.12477,6.14502,3.12390,e0,2
317.64600,290.59262,34.93727,5.86107,2.08958,e0,2
324.57544,251.00555,64.71850,7.44710,2.90504,e0,2
340.52750,345.23998,53.50790,7.85510,2.30159,e0,2
333.20687,240.71736,61.07799,7.10016,2.93820,e0,2
384.52131,309.85134,101.42097,10.22791,3.29959,e0,2
258.72247,275.29994,64.91815,7.76244,2.82958,e0,2
281.13380,293.07624,57.24017,7.47710,2.56739,e0,2
334.63243,296.70012,68.60896,8.24869,2.80318,e0,2
246.77006,319.91906,75.49078,8.98836,2.80153,e0,2
322.78177,216.95489,75.58542,7.48765,3.42767,e0,2
292.82783,218.16612,62.49477,6.85351,3.12534,e0,2
285.90287,321.43645,32.99186,5.98677,1.93744,e0,2
337.83049,324.74713,60.36955,8.14700,2.53005,e0,2
293.16514,391.38391,54.12824,8.42327,2.14006,e0,2
160.21170,287.11354,67.60609,8.01709,2.81625,e0,2
340.70620,286.45361,82.06994,8.84299,3.14694,e0,2
276.34616,271.42431,53.24697,6.99616,2.54381,e0,2
295.93547,312.93574,33.26694,5.94334,1.95821,e0,2
270.55445,290.96685,28.60653,5.40904,1.91931,e0,2
323.19553,144.49382,23.90140,3.57966,2.48394,e0,2
191.46209,202.38059,75.35347,7.16074,3.48984,e0,2
281.47081,263.49607,59.92340,7.30812,2.75358,e0,2
197.86313,212.98216,68.54118,7.06163,3.32110,e0,2
335.64907,236.50015,32.65079,5.14214,2.16295,e0,2
304.98279,179.32683,33.85908,4.59727,2.56728,e0,2
280.52415,193.46325,87.13276,7.62451,3.86832,e0,2
219.55394,280.78292,89.91508,9.22776,3.27426,e0,2
336.19590,262.92279,63.50890,7.53800,2.82270,e0,2
260.44073,297.60809,79.69098,8.98527,3.01078,e0,2
269.01340,294.32643,52.44101,7.24947,2.47161,e0,2
281.09720,251.99145,49.21525,6.49093,2.59160,e0,2
329.55422,161.77536,51.60014,5.49127,3.29108,e0,2
333.61054,218.16311,52.41821,6.28562,2.85566,e0,2
277.23979,209.92429,48.16461,5.91897,2.74854,e0,2
284.91062,251.56214,58.96999,7.17296,2.84803,e0,2
294.52623,277.84547,30.14804,5.34287,1.98000,e0,2
204.61587,305.19689,55.82733,7.59517,2.48633,e0,2
225.31216,218.89820,75.42729,7.55884,3.39530,e0,2
364.94760,370.61942,53.01315,8.12243,2.24609,e0,2
318.53019,188.31020,64.77310,6.46988,3.37556,e0,2
329.85779,334.30705,67.65461,8.77966,2.67623,e0,2
334.04325,338.77493,70.37184,8.97413,2.66302,e0,2
346.14846,223.75181,63.00370,6.98761,3.07252,e0,2
416.11532,314.24090,52.53065,7.45106,2.40676,e0,2
243.79777,239.42640,78.49815,8.00989,3.29298,e0,2
362.83604,276.60648,75.16093,8.37567,3.02223,e0,2
274.95362,275.12865,73.56858,8.20239,2.99161,e0,2
305.47936,190.80348,61.68318,6.37155,3.28928,e0,2
311.05467,185.90364,52.44706,5.84584,3.09519,e0,2
268.48971,218.07587,64.57836,6.94869,3.14734,e0,2
282.50954,308.87266,86.43088,9.44352,3.06637,e0,2
315.79216,334.41290,54.49638,7.83056,2.40707,e0,2
385.06334,181.68961,52.96247,5.79575,3.11125,e0,2
389.47460,279.55153,64.81090,7.81091,2.81534,e0,2
337.15583,267.27929,85.34140,8.78855,3.25940,e0,2
279.31435,228.06270,56.76427,6.60580,2.89451,e0,2
329.01785,49.58402,66.64564,3.59230,6.32389,e0,2
242.84140,332.57686,3.64933,2.10437,0.73390,e0,2
335.87917,296.74925,87.82393,9.35766,3.19895,e0,2
363.05076,233.34120,74.70901,7.73234,3.29092,e0,2
234.79864,213.69679,61.65059,6.71975,3.08694,e0,2
227.08256,379.93867,50.10931,8.00790,2.16173,e0,2
378.68274,250.70413,49.88233,6.52954,2.59256,e0,2
269.54911,313.84527,38.60721,6.38062,2.02526,e0,2
256.18170,312.87592,46.03543,6.94275,2.25756,e0,2
186.93850,266.68083,7.66641,2.67749,1.03965,e0,2
291.60213,311.28104,59.77895,7.91809,2.57518,e0,2
368.48033,159.86481,51.40035,5.37100,3.25584,e0,2
281.12806,308.86564,73.08594,8.73578,2.79931,e0,2
295.60544,342.75386,64.01529,8.58326,2.51243,e0,2
296.22287,285.41517,48.66132,6.88941,2.41163,e0,2
185.82050,363.42678,82.16450,9.98912,2.80451,e0,2
344.62554,373.40940,60.67300,8.72104,2.35241,e0,2
406.82994,224.26764,25.48404,4.43134,1.99470,e0,2
212.36041,212.91210,81.46185,7.73528,3.57162,e0,2
269.87479,329.86875,100.25998,10.54939,3.21209,e0,2
383.58887,308.95867,49.88391,7.21412,2.35045,e0,2
320.71174,281.08921,90.72431,9.30986,3.27007,e0,2
311.20897,295.95822,36.83171,6.08214,2.06137,e0,2
322.01773,219.20545,55.28574,6.47375,2.89851,e0,2
355.17098,192.76420,7.21963,2.24512,1.25255,e0,2
311.02827,306.58229,76.89033,8.87884,2.93539,e0,2
363.17409,334.55119,61.71043,8.34529,2.54671,e0,2
322.83336,123.56720,84.88191,6.12924,4.68482,e0,2
317.48902,321.73462,25.80733,5.36292,1.74550,e0,2
294.38991,493.18108,51.56229,9.20482,1.89263,e0,2
261.96214,299.43820,77.00190,8.82909,2.93833,e0,2
200.10151,208.42657,81.11357,7.58487,3.59837,e0,2
312.52231,202.72944,37.58787,5.13121,2.51876,e0,2
363.93028,222.10158,52.35086,6.33574,2.82002,e0,2
262.12539,238.93528,64.51546,7.25640,3.06943,e0,2
323.80434,251.76936,68.30492,7.63835,3.05051,e0,2
305.24316,265.60499,72.37240,8.08834,2.99716,e0,2
335.31630,282.61920,62.88508,7.70390,2.77203,e0,2
268.21794,238.81464,59.08994,6.94422,2.89951,e0,2
274.86560,273.59710,75.45683,8.34836,3.12222,e0,2
366.25128,299.63154,17.07916,4.18816,1.51589,e0,2
249.69059,287.21542,88.29806,9.25476,3.27134,e0,2
281.80439,248.83549,77.77113,8.08599,3.26544,e0,2
288.78970,313.01897,71.52348,8.63796,2.74988,e0,2
193.37885,241.08312,48.47328,6.25814,2.62591,e0,2
282.92681,363.36743,45.78107,7.47292,2.08640,e0,2
326.14105,229.04360,69.54604,7.35636,3.21714,e0,2
353.97900,215.92690,42.98558,5.65634,2.58047,e0,2
280.74180,378.30936,33.59475,6.55446,1.80605,e0,2
272.78886,279.43178,28.21290,5.21064,1.87252,e0,2
366.56670,201.07329,52.34840,6.03160,2.95496,e0,2
386.14229,216.83764,75.28107,7.51805,3.36205,e0,2
333.54090,165.21818,84.42480,6.98061,4.05225,e0,2
240.71835,321.15146,52.10321,7.49938,2.38187,e0,2
246.99533,179.29453,33.11975,4.55005,2.50363,e0,2
253.84145,197.46817,87.56378,7.67520,3.81633,e0,2
328.29373,212.97938,44.02925,5.71362,2.61857,e0,2
320.40608,275.32677,74.89283,8.41131,2.98032,e0,2
332.54893,218.79121,56.67995,6.46872,2.96058,e0,2
328.33549,247.04207,36.05783,5.52117,2.23431,e0,3
308.22147,172.89990,73.50451,6.67021,3.75346,e0,3
300.95278,317.39915,70.58843,8.64505,2.74108,e0,3
301.90740,130.97879,47.80093,4.73027,3.45503,e0,3
219.46691,274.51362,61.13897,7.53843,2.77443,e0,3
319.75564,223.70604,42.32794,5.71112,2.51996,e0,3
294.08413,283.76221,63.37577,7.84043,2.78895,e0,3
310.94727,335.45691,97.21165,10.40682,3.10185,e0,3
285.89038,240.18772,33.80010,5.29166,2.19790,e0,3
309.87617,332.43956,70.46932,8.89683,2.68014,e0,3
258.87791,280.60722,64.04102,7.81215,2.79793,e0,3
341.10616,212.59429,22.69532,4.08108,1.94578,e0,3
370.56401,322.02391,81.44602,9.33450,2.87803,e0,3
315.29042,229.44322,56.76999,6.68772,2.86318,e0,3
300.43609,228.77086,65.89089,7.15284,3.05556,e0,3
346.85462,287.59545,48.63266,6.89120,2.43693,e0,3
336.89349,327.35834,45.43005,7.11279,2.22290,e0,3
347.15383,323.51679,54.29190,7.64607,2.39164,e0,3
292.26635,327.78535,49.53087,7.42045,2.28997,e0,3
252.48705,312.20597,53.07273,7.51993,2.42054,e0,3
317.60141,169.36144,69.44448,6.37342,3.65823,e0,3
311.78361,178.07628,69.29956,6.51925,3.57455,e0,3
248.84460,256.64703,26.18977,4.83758,1.90926,e0,3
371.20773,308.88839,45.64548,6.91674,2.27298,e0,3
273.32203,296.86930,31.99486,5.67702,1.99398,e0,3
274.93768,341.30268,45.60003,7.25249,2.15805,e0,3
299.05558,210.24159,70.14175,7.07990,3.37918,e0,3
326.42615,305.22423,78.51296,8.97176,2.92594,e0,3
343.16721,274.46116,80.63294,8.64486,3.11568,e0,3
370.45435,305.70996,54.34905,7.48531,2.51276,e0,3
272.72891,236.38242,42.61717,5.89048,2.49771,e0,3
170.36253,320.42210,53.43137,7.57738,2.38173,e0,3
274.21060,363.82696,68.98144,9.14996,2.55688,e0,3
195.38703,233.82378,35.68808,5.39750,2.29098,e0,3
307.66692,219.05098,58.83420,6.67821,3.01446,e0,3
305.73532,239.92049,83.47130,8.26248,3.41575,e0,3
248.49049,317.99356,44.20825,6.85586,2.14988,e0,3
351.69263,207.43449,76.11176,7.39846,3.51461,e0,3
330.08167,263.60470,39.57372,5.95688,2.31512,e0,3
252.92795,320.93194,81.25403,9.34186,2.88837,e0,3
284.56965,215.57128,88.51537,8.06393,3.65883,e0,3
292.16315,348.35927,41.54275,6.98122,2.02725,e0,3
266.22424,249.26443,68.88281,7.68872,3.03446,e0,3
238.09173,313.57367,71.47884,8.62949,2.74671,e0,3
215.98243,233.02259,70.39469,7.45049,3.15506,e0,3
267.74496,441.43630,46.40123,8.26956,1.94908,e0,3
282.41465,317.73411,52.98638,7.52509,2.40277,e0,3
348.79032,196.60271,70.24363,6.89263,3.45045,e0,3
282.48996,348.82676,58.45731,8.24216,2.41899,e0,3
335.42955,57.12813,50.57695,3.37246,5.10801,e0,3
415.83802,314.48870,71.58683,8.73117,2.78563,e0,3
